ga:hostname	ga:isMobile	ga:visits
(not set)	No	1
203.84.192.95	No	2
66.163.168.225	No	4
74.6.117.48	No	6
74.6.238.252	No	1
74.6.238.254	No	27
74.6.238.254	Yes	1
87.248.112.8	No	1
WWW.11180SW78AVE.COM	No	1
WWW.188WALNUTST.COM	No	1
WWW.19appletonln.com	Yes	1
WWW.310W79APT1W.COM	Yes	1
WWW.400NorthClintonSt.com	Yes	1
WWW.693GLADWINAVE.NET	No	1
Www.109SCountyline.com	Yes	3
Www.11roseenave.com	Yes	1
Www.1237CherokeeRd.com	Yes	2
Www.1321pineapple.com	Yes	1
Www.15095darringtonrd.com	Yes	7
Www.17281santaclaract.com	Yes	1
Www.1729summerhill.com	Yes	2
Www.18668perkinsrd.com	Yes	1
Www.201caminosur.com	No	1
Www.201caminosur.com	Yes	6
Www.204troondr.com	Yes	5
Www.2301sunningdale.com	Yes	2
Www.24182paipurd.com	Yes	3
Www.2521westminsterheath.net	No	1
Www.307CliffRidgeDrive.com	No	4
Www.307CliffRidgeDrive.com	Yes	5
Www.320CliffRidgeDrive.com	No	7
Www.320CliffRidgeDrive.com	Yes	17
Www.324CliffRidgeDrive.com	No	6
Www.324CliffRidgeDrive.com	Yes	14
Www.32citadeldr.com	Yes	1
Www.36thavenue.com	Yes	1
Www.409belmontstne.com	Yes	1
Www.50plumgrove.com	Yes	1
Www.702oceanln.com	Yes	5
Www.7070wildwoodcir.com	Yes	4
Www.8CliffRidgeCourt.com	No	2
Www.8CliffRidgeCourt.com	Yes	8
Www.homeonpope.com	Yes	1
cc.bingj.com	No	5
cc.bingj.com	Yes	9
cncc.bingj.com	No	1
fanyi.youdao.com	No	2
homefinder.recurly.com	No	90
homefinder.recurly.com	Yes	9
hpspw1.classifiedventures.com	No	1
hpspw2.classifiedventures.com	No	1
liveweb.archive.org	No	2
s4-us2.ixquick-proxy.com	No	3
s5-us2.ixquick-proxy.com	No	2
s9-us2.ixquick-proxy.com	No	2
search.yahoo.com	No	1
spw.homefinder.com	No	5338
spw.homefinder.com	Yes	1745
translate.googleusercontent.com	No	6
translate.googleusercontent.com	Yes	1
translate.yandex.net	No	1
urlwww--108tupeloct--com.reachlocal.net	No	1
urlwww--301paddockpllot149--com.reachlocal.net	No	2
urlwww--326forestgroveavenue--com.reachlocal.net	Yes	1
webcache.googleusercontent.com	No	42
webcache.googleusercontent.com	Yes	3
www.0-6riveredgepkwy.com	No	11
www.0-6riveredgepkwy.com	Yes	1
www.0000Hwy41.com	No	1
www.0000Hwy41.com	Yes	1
www.0000honomakaurd.com	No	6
www.0000hwy41.com	No	8
www.0000rt13.com	No	6
www.0000rt13.com	Yes	4
www.000bob-o-linkrd.com	No	2
www.000hamiltonrd.com.spw.qa.homefinder.com	No	4
www.000plumeriast.com	No	1
www.000plumeriast.com.spw.qa.homefinder.com	No	3
www.000woodlakeavenue.com	No	1
www.0BALLHOLLOWBRANCHRD.COM	No	1
www.0BARFIELDCRESCENT.COM	No	1
www.0BarfieldCrescent.com	Yes	1
www.0CHERRYGROVERD.COM	No	1
www.0ColumbusDrive.com	Yes	1
www.0GREENVIEWLN.COM	No	1
www.0HWY67.COM	No	1
www.0ROSEMONT.COM	No	2
www.0S587MADISONST.COM	No	2
www.0arlingtonchaserd.com	No	4
www.0azalealn.com	No	2
www.0beechnutst.com.spw.int.homefinder.com	No	1
www.0beechwoodcir.com	No	2
www.0blueherondr.com	No	2
www.0blueherondr.com.spw.qa.homefinder.com	No	1
www.0cherrygroverd.com	No	4
www.0columbusdrive.com	No	3
www.0confidentialrd.com	No	1
www.0deerhorntrl.com	No	4
www.0firetowerrd.com	No	2
www.0greenviewln.com	No	2
www.0harborviewdr.com.spw.dev.homefinder.com	No	4
www.0harborviewdr.com.spw.int.homefinder.com	No	1
www.0hillcrestave.com	No	2
www.0hwy101.com	No	1
www.0hwy101.com	Yes	1
www.0hwy64w.com	No	1
www.0indiancreek.com	No	1
www.0judylnlot2005.com	No	5
www.0jugfactoryroad.com	No	1
www.0jugfactoryroad.com.spw.dev.homefinder.com	No	2
www.0jugfactoryroad.com.spw.gmarks.local.homefinder.com	No	4
www.0kuhiohwy.com	No	9
www.0kumurd.com	No	13
www.0kumurd.com	Yes	2
www.0lakeviewrd.com	No	1
www.0ne152st.com	No	11
www.0postrd.com	No	4
www.0ridgerd.com	No	2
www.0rosemont.com	No	3
www.0santarosacreekrd.com	No	1
www.0schoolhouserd.com	No	1
www.0silverct.com	No	1
www.0silverct.com	Yes	1
www.0sstatehwy125.com	No	2
www.10001GRANDVIEW.COM	No	1
www.10001SW58ST.COM	No	1
www.10005heritagehillsdr.com	No	14
www.10005heritagehillsdr.com	Yes	2
www.10009nmarlenedr.com	No	2
www.1000BARRIDGERD.COM	No	1
www.1000SPOINTEDR.COM	No	1
www.1000bridgehillct.com	No	1
www.1000edgewooddr.com	No	20
www.1000monroeln.com	No	1
www.1000nlakeshoredr.com	No	15
www.1000nlakeshoredr.com	Yes	1
www.1000oaksparkville.com	No	4
www.1000oaksparkville.com	Yes	3
www.1000se4thst.com	No	1
www.1000se4thst.com	Yes	1
www.1000se4thstunit300.com	No	16
www.1000se4thstunit300.com	Yes	5
www.1000spointedr.com	No	4
www.1001KilianBlvdCallGwen.com	Yes	1
www.1001PECKPL.COM	No	1
www.1001READINGBLVD.COM	No	2
www.1001francisave.com	No	4
www.1001kidronway.com	No	1
www.1001kidronway.com	Yes	1
www.1001kilianblvdcallgwen.com	No	35
www.1001kilianblvdcallgwen.com	Yes	4
www.1001kilianblvdcallgwen.com.spw.qa.homefinder.com	No	1
www.1001lynwoodln.com	No	1
www.1001peckpl.com	No	1
www.1001readingblvd.com	No	11
www.1001readingblvd.com	Yes	2
www.1001vermontstn707.com	No	1
www.10020normandyln.com	No	1
www.10021county47.com	No	29
www.10021county47.com	Yes	11
www.10026sunningdale.com	No	4
www.10026sunningdale.com	Yes	1
www.10026terracepark.com	No	5
www.10026terracepark.com	Yes	1
www.1002ASHMOREDR.COM	No	1
www.1002RiversideDRCallGwen.com	No	1
www.1002RiversideDRCallGwen.com	Yes	1
www.1002RiversideDrCallGwen.com	Yes	1
www.1002WILLOWDR.COM	No	1
www.1002ashmoredr.com	No	1
www.1002helmln.com	Yes	1
www.1002riversidedrcallgwen.com	No	23
www.1002riversidedrcallgwen.com	Yes	3
www.1002willowdr.com	No	6
www.1002willowdr.com.spw.qa.homefinder.com	No	1
www.1003Hollycrest.com	Yes	1
www.1003IVY.COM	No	1
www.1003SILVERBELLCOURT.COM	No	1
www.1003STRAWBERRYCT.COM	No	1
www.1003StrawberryCt.com	No	1
www.1003StrawberryCt.com	Yes	1
www.1003calvertst.com	No	1
www.1003chimneyhilltrail.com	No	1
www.1003creekbenddr.com	No	17
www.1003creekbenddr.com	Yes	8
www.1003deerfieldstrc.com	No	1
www.1003greenhillst.com	No	2
www.1003hollycrest.com	No	3
www.1003ivy.com	No	4
www.1003ivy.com	Yes	1
www.1003nwdogwooddr.com	No	2
www.1003rossdrive.com	No	1
www.1003sairportrd.com	No	10
www.1003sairportrd.com	Yes	7
www.1003silverbellcourt.com	No	7
www.1003strawberryct.com	No	32
www.1003strawberryct.com	Yes	4
www.1003sunsetavenue.com	No	11
www.1003sunsetavenue.com	Yes	8
www.1003westviewdr.com	No	1
www.10041WAYNECREST.COM	No	1
www.10041waynecrest.com	No	5
www.10042SPRINGSTONERD.COM	No	1
www.10042springstonerd.com	No	12
www.10042springstonerd.com	Yes	3
www.10045ESHOSHONE.COM	No	1
www.10045eshoshone.com	No	18
www.10046heatherglenct.com	No	8
www.1004CEDARCRESTDR.COM	No	1
www.1004CHAMPIONSCIRCLE.COM	No	1
www.1004DANESTONECT.COM	No	1
www.1004EAST11THST.COM	No	1
www.1004GRANDCT.COM	No	2
www.1004PECKPL.COM	No	1
www.1004battlefielddr.com	No	2
www.1004cedarcrestdr.com	No	4
www.1004cedarcrestdr.com	Yes	1
www.1004championscircle.com	No	5
www.1004danestonect.com	No	1
www.1004east11thst.com	Yes	1
www.1004grandct.com	No	1
www.1004grandct.com	Yes	2
www.1004oakblvd.com	No	1
www.1004oakblvd.com	Yes	1
www.1004peckpl.com	Yes	1
www.1004rachelbethct.com	No	1
www.1005GREENWAYRD.COM	No	1
www.1005NORFLEETDR.COM	No	2
www.1005PERCYWARNERBLVD.COM	No	1
www.1005RunningCreekWay.com	No	2
www.1005autumnridgect.com	No	1
www.1005greenwayrd.com	No	1
www.1005kingst.com	No	6
www.1005kingst.com	Yes	1
www.1005percywarnerblvd.com	No	2
www.1005runningcreekway.com	No	4
www.1005runningcreekway.com	Yes	2
www.1005wbluffst.com	No	1
www.10063BROKENWOODSCT.COM	No	2
www.10063brokenwoodsct.com	No	2
www.10063brokenwoodsct.com	Yes	1
www.1006AVERYTRACECIR.COM	No	1
www.1006BRINDLEYDR.COM	No	1
www.1006SaddlebrookDrive.com	Yes	2
www.1006averytracecir.com	No	1
www.1006berkleydr.com	No	1
www.1006blueridgepkwy.com	No	1
www.1006coldstream.com	No	7
www.1006moorelandblvd.com	No	1
www.1006saddlebrookdr.com	No	4
www.1006saddlebrookdr.com	Yes	2
www.1006saddlebrookdrive.com	No	1
www.1006tanyardspringsdr.com	No	4
www.1006tanyardspringsdr.com	Yes	1
www.10078thavenuesw.com	No	2
www.1007OakDr.com	No	1
www.1007crestoverrd.com	No	16
www.1007e5thst.com	No	6
www.1007leonardtrail.com	No	1
www.1007marshallst.com	No	3
www.1007oakdr.com	No	2
www.1008-2NDAVENUE.COM	No	1
www.1008-2ndavenue.com	No	1
www.1008CENTRALPARKBLVD46143.COM	No	1
www.1008GENIUSDR.COM	No	2
www.1008WILLOWDR.COM	No	2
www.1008WOODCT.COM	No	2
